timestamp,asset,window,market_id,elapsed,remaining_seconds,reference_price,current_price,move_pct,direction,entry_price,bid,ask,spread,confidence,required_move,entry_bucket,move_bucket,elapsed_bucket,risk_gate,signal_status,order_status,execution_quality,requested_shares,filled_shares,remaining_shares,average_fill_price,best_ask,slippage,hyp_cost,hyp_shares,resolution,hypothetical_pnl,realized_pnl,bankroll_at_signal,daily_pnl,exposure_at_signal,consecutive_losses,end
2026-08-28T21:26:40.372082+00:00,SOL,15m,3940066,0.78,200.0,103.795,103.69,-0.101,DOWN,0.55,,0.55,,0.764,0.1,0.50–0.55,0.10–0.12%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,7.72,,,,0.55,,4.24,7.72,LOSS,-4.24,,89.39,-10.61,0,0,2026-08-28T21:30:00+00:00
2026-08-28T21:41:16.633819+00:00,SOL,15m,3940153,0.75,223.7,103.875,103.7,-0.168,DOWN,0.6,,0.59,,0.776,0.12,0.55–0.60,0.15–0.20%,75–80%,,EXECUTED,PAPER,GOOD,6.76,6.76,0.0,0.6,0.59,0.01,4.05,6.76,WIN,2.71,2.71,89.39,-10.61,4.05,0,2026-08-28T21:45:00+00:00
2026-08-28T21:41:41.073716+00:00,XRP,15m,3940146,0.78,199.3,1.3820000000000001,1.3806,-0.101,DOWN,0.54,,0.54,,0.764,0.1,0.50–0.55,0.10–0.12%,75–80%,MAX_PER_WINDOW,BLOCKED_BY_RISK,,UNEXECUTABLE,8.06,,,,0.54,,4.35,8.06,WIN,3.71,,89.39,-10.61,4.05,0,2026-08-28T21:45:00+00:00
2026-08-29T12:26:16.705085+00:00,SOL,15m,3951420,0.75,223.6,103.755,103.52,-0.226,DOWN,0.53,,0.53,,0.793,0.1,0.50–0.55,0.20%+,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.69,,,,0.53,,4.61,8.69,WIN,4.08,,92.1,0.0,0,0,2026-08-29T12:30:00+00:00
2026-08-29T12:26:32.718967+00:00,XRP,15m,3951415,0.77,207.6,1.384,1.3826,-0.101,DOWN,0.54,,0.54,,0.761,0.1,0.50–0.55,0.10–0.12%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.2,,,,0.54,,4.43,8.2,WIN,3.77,,92.1,0.0,0,0,2026-08-29T12:30:00+00:00
2026-08-29T15:56:54.500706+00:00,SOL,15m,3953534,0.79,186.0,104.98500000000001,104.86,-0.119,DOWN,0.53,,0.53,,0.774,0.1,0.50–0.55,0.10–0.12%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.69,,,,0.53,,4.61,8.69,LOSS,-4.61,,92.1,0.0,0,0,2026-08-29T16:00:00+00:00
2026-08-29T17:41:16.568409+00:00,SOL,15m,3954916,0.75,224.0,104.765,104.63,-0.129,DOWN,0.56,,0.56,,0.764,0.12,0.55–0.60,0.12–0.15%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,7.63,,,,0.56,,4.27,7.63,WIN,3.36,,92.1,0.0,0,0,2026-08-29T17:45:00+00:00
2026-08-29T23:39:22.760128+00:00,SOL,5m,3962857,0.87,37.7,105.515,105.63,0.109,UP,0.55,,0.55,,0.795,0.1,0.50–0.55,0.10–0.12%,85–90%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.37,,,,0.55,,4.61,8.37,WIN,3.76,,92.1,0.0,0,0,2026-08-29T23:40:00+00:00
2026-08-30T01:56:38.125534+00:00,XRP,15m,3964927,0.78,202.3,1.3917000000000002,1.3903,-0.101,DOWN,0.53,,0.53,,0.763,0.1,0.50–0.55,0.10–0.12%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.61,,,,0.53,,4.56,8.61,LOSS,-4.56,,92.1,0.0,0,0,2026-08-30T02:00:00+00:00
2026-08-30T14:56:56.165678+00:00,SOL,15m,3974786,0.8,184.3,106.75999999999999,106.9,0.131,UP,0.58,,0.58,,0.778,0.12,0.55–0.60,0.12–0.15%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,7.48,,,,0.58,,4.34,7.48,LOSS,-4.34,,92.1,0.0,0,0,2026-08-30T15:00:00+00:00
